"","NSWMRemanded ","NSWMSentenced","NSWFRemanded ","NSWFSentenced","VICMRemanded ","VICMSentenced","VICFRemanded ","VICFSentenced","QLDMRemanded ","QLDMSentenced","QLDFRemanded ","QLDFSentenced","SA MRemanded ","SA MSentenced","SA FRemanded ","SA FSentenced","WA MRemanded ","WA MSentenced","WA FRemanded ","WA FSentenced","TASMRemanded ","TASMSentenced","TASFRemanded ","TASFSentenced","NT MRemanded ","NT MSentenced","NT FRemanded ","NT FSentenced","ACTMRemanded ","ACTMSentenced","ACTFRemanded ","ACTFSentenced"
"27",2569,6707,201,487,827,3613,67,257,1110,4073,93,334,568,1347,42,85,782,3507,59,284,98,388,9,30,270,934,18,41,70,157,7,6
"28",2511,6648,193,455,834,3680,75,257,1096,4140,88,392,570,1347,51,81,814,3546,82,283,95,394,6,33,254,968,21,39,74,154,4,3
"29",2523,6549,208,438,851,3621,79,242,1130,4060,94,342,621,1357,56,72,871,3578,93,296,104,366,12,25,298,1014,19,44,94,161,4,6
"30",2454,6628,204,436,899,3666,81,249,1132,4052,101,360,626,1368,59,79,888,3647,95,325,94,382,7,28,302,1035,29,57,92,172,3,8
"31",2371,6613,216,439,936,3651,85,255,1113,4045,105,371,594,1351,53,81,881,3627,97,335,77,369,8,38,302,1025,30,53,91,168,3,11
"32",2498,6569,214,439,897,3805,93,245,1092,4178,104,370,638,1384,51,84,873,3604,98,342,87,358,7,43,282,1074,23,65,86,171,4,11
"33",2635,6544,231,449,937,3898,91,246,1206,4178,118,387,666,1406,55,80,907,3599,109,348,72,350,6,31,335,1106,31,61,77,153,4,8
"34",2694,6642,227,467,934,4000,88,265,1232,4247,133,414,698,1402,66,79,955,3584,105,343,97,330,7,26,316,1103,26,73,75,172,5,7
"35",2620,6757,232,460,886,4175,99,289,1259,4360,133,438,726,1415,61,86,874,3615,100,349,92,348,5,27,340,981,31,73,89,208,4,10
"36",2656,6925,239,460,863,4461,112,300,1286,4597,149,466,747,1472,55,94,882,3614,93,357,83,362,6,29,392,1020,36,73,75,242,6,11
"37",2901,6940,262,477,921,4540,108,297,1425,4753,161,485,751,1515,70,95,911,3635,108,362,88,353,4,27,447,966,48,75,77,239,5,9
"38",2936,7205,267,498,1006,4615,104,296,1586,4797,163,488,819,1542,67,96,1012,3692,123,353,94,343,4,26,428,993,37,75,92,222,5,15
"39",2594,7254,221,502,1112,4682,98,314,1498,4899,163,498,823,1555,74,98,1043,3726,135,351,89,324,4,26,382,1024,43,68,82,229,5,13
"40",2639,7231,223,497,1275,4712,123,319,1488,5010,161,522,828,1669,75,101,1065,3780,147,370,93,340,7,19,419,1035,41,75,88,239,5,11
"41",3124,7190,298,493,1392,4631,132,318,1566,4935,156,499,822,1663,65,91,1073,3833,156,376,103,337,8,20,462,1058,53,86,92,218,7,14
"42",3278,7493,303,543,1357,4505,134,296,1610,5022,174,502,849,1693,64,88,1135,3843,147,380,113,371,7,21,404,1094,50,93,113,219,8,12
"43",3431,7595,305,575,1281,4386,135,287,1621,4958,183,500,921,1688,74,85,1191,3864,141,373,129,347,12,23,413,1041,43,99,109,240,6,11
"44",3490,7815,305,570,1438,4442,146,276,1758,4975,196,465,987,1679,78,93,1314,3894,160,357,133,350,13,31,408,1046,51,114,116,264,11,8
"45",3749,7742,349,552,1588,4363,158,278,1943,5063,226,450,1029,1651,78,95,1425,3876,171,367,138,349,14,34,481,1106,50,92,117,270,13,13
"46",3850,7853,414,526,1716,4305,158,278,1987,5083,231,452,1126,1671,101,90,1566,3969,206,401,130,374,15,34,480,1089,40,88,127,254,11,16
"47",3829,7927,425,542,1801,4364,170,263,2082,5000,221,468,1086,1669,100,89,1623,4076,226,396,142,381,13,43,417,1087,43,81,133,267,11,17
"48",3873,7919,426,587,1915,4418,175,268,2079,5208,230,511,1100,1679,108,97,1608,4088,208,404,141,401,10,41,404,1076,38,77,143,268,12,14
"49",4152,7808,459,586,2014,4374,211,279,2187,5294,245,492,1131,1708,106,108,1631,4203,225,420,146,387,15,29,451,1081,41,78,150,259,19,12
"50",4071,8034,442,597,2099,4448,208,296,2377,5343,253,485,1086,1741,111,107,1772,4311,235,453,166,387,14,25,442,1106,43,82,159,262,27,14
"51",3938,8271,412,616,2034,4601,202,304,2341,5427,228,472,1026,1808,94,112,1711,4344,216,459,159,414,13,29,439,1075,38,66,146,269,23,21
"52",3948,8200,411,606,2028,4660,197,309,2392,5432,283,460,1005,1819,108,118,1678,4308,227,465,169,411,21,32,435,1079,43,57,147,280,21,16
"53",4245,8028,460,572,2211,4484,196,303,2426,5467,300,478,1107,1762,114,118,1711,4327,233,486,189,380,19,23,550,1077,52,60,145,287,17,17
"54",4356,8263,455,619,2383,4566,241,297,2472,5493,311,537,1090,1755,115,131,1736,4435,239,502,172,400,20,23,531,1132,53,68,157,293,19,17
"55",4218,8413,431,615,2538,4670,260,328,2444,5558,294,556,1006,1754,93,122,1686,4471,242,511,150,433,15,25,438,1170,52,68,163,286,22,17
"56",4128,8225,400,583,2635,4830,258,307,2464,5656,300,548,945,1744,98,113,1710,4440,231,498,154,452,18,24,405,1142,43,72,155,281,25,19
